Sentence,Sentiment,cleaned_Sentence,Encoded_Sentiment,Sentiment_Polarity_Cleaned,Sentiment_Label_Cleaned,Sentiment_Label_Encoded
"Sarantel , based in Wellingborough , UK , designs high performance antennas for portable wireless devices .",neutral,sarantel based wellingborough uk designs high performance antennas portable wireless devices,1,0.16,positive,2
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,philippines san miguel says partner kirin bids sabmillers,2,0.0,neutral,1
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative,high court finland fined seven local asphalt companies lion million operating cartel,0,0.08,positive,2
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,neutral,net profit fell almost half million million end,1,-0.08333333333333333,negative,0
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,agn pypl pressure along market however bullish options trades morning,1,0.0,neutral,1
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,neutral,upm stock fell percent euro early afternoon trading helsinki,1,0.1,positive,2
"HELSINKI AFX   Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral,helsinki afx cramo said agreed sell cramo nederland bv cnl dutch machinery equipment rental unit jaston groep undisclosed sum,1,0.0,neutral,1
The stock rose for a second day on Wednesday bringing its two day rise to GBX12 .0 or 2.0 % .,positive,stock rose second day wednesday bringing two day rise gbx,2,0.3,positive,2
"The share capital of Alma Media Corporation business ID 1944757 4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral,share capital alma media corporation business id eur divided shares,1,0.0,neutral,1
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",neutral,port facilities throughput teus mln tons general cargo,1,0.05000000000000002,positive,2
Investments are not disclosed .,neutral,investments disclosed,1,0.0,neutral,1
Operating profit excluding non recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,operating profit excluding non recurring items increased eur mn eur mn corresponding period,2,0.0,neutral,1
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,end march company loans amounted eur mn,1,0.0,neutral,1
The value of the order is about EUR 30mn .,neutral,value order eur mn,1,0.0,neutral,1
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,market making accordance agreement begin september,1,0.0,neutral,1
$FB popping up to HOD,positive,fb popping hod,2,0.0,neutral,1
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,pleased proud performance last year chief executive juha rantanen said statement,2,0.43333333333333335,positive,2
"The order includes a steel frame , load bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral,order includes steel frame load bearing roof structures partition wall elements rautaruukki said expects complete installation early may next year,1,0.06666666666666667,positive,2
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral,shares subscribed stock options registered trade register january date new shares establish shareholder rights,1,0.13636363636363635,positive,2
The identity of the buyer is not yet known .,neutral,identity buyer yet known,1,0.0,neutral,1
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,2,0.16666666666666666,positive,2
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,positive,rt robbielolz nflx close looking good bulls hold positions see close keep buying,2,0.7,positive,2
Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .,positive,contract cramo sverige subcontractor brinkab ab provide scaffolding installations lkab new pellets plant kiruna northern sweden,2,0.13636363636363635,positive,2
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,copying republication redistribution afx news content inculding framing similar means expressly prohibited without prior written consent afx news,1,0.0,neutral,1
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,makes wide range mobile devices services software enable people experience music navigation video television imaging games business mobility,1,-0.1,negative,0
easyJet expects resilient demand to withstand security fears,positive,easyjet expects resilient demand withstand security fears,2,0.0,neutral,1
RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral,rt jan arna dont think buyout rumor strong enough driving yetwhen may fly like aapl fly high,1,0.43866666666666665,positive,2
"$SLV  4.44% at 18 now AWFUL, down from 42.50",negative,slv awful,0,-1.0,negative,0
The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',neutral,secondary antenna also used reception high power signal radar calibrate transmission channels radar,1,-0.06999999999999999,negative,0
"The broker started UPM Kymmene , Stora Enso and Sappi with ` equal weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,broker started upm kymmene stora enso sappi equal weight recommendations holmen norske skog underweight ratings,1,0.0,neutral,1
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",neutral,operating profit margin compared year earlier,1,0.0,neutral,1
"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,markets almost completely controlled three banks nordea op bank group sampo,1,0.1,positive,2
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative,net profit fell almost half million million end,0,-0.08333333333333333,negative,0
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,eq bank forecasts olvi net sales eur mn second quarter operating profit eur mn,1,0.0,neutral,1
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight fold to 200,000 TB by 2014 .",positive,hkan dahlstrm head mobility services teliasonera forecast mobile data volume teliasonera network sweden rise eight fold tb,2,0.0,neutral,1
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January March 2010 , a representative in the administration of the company told .",neutral,belarus oao lidskoe pivo brewery based grodno region reported decrease output million decaliters january march representative administration company told,1,0.0,neutral,1
The bridge will be built to the south of the existing bridge spanning the strait .,neutral,bridge built south existing bridge spanning strait,1,0.0,neutral,1
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,deal significant effect acquiring company equity ratio,1,0.375,positive,2
Risk exposure by Non life Insurance  Moving 12 month  Expenses by function in Non life Insurance excluding expenses for investment management and expenses for other services rendered Non life Insurance investment portfolio by allocation,neutral,risk exposure non life insurance moving month expenses function non life insurance excluding expenses investment management expenses services rendered non life insurance investment portfolio allocation,1,0.0,neutral,1
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,company also featured ethibel pioneer investment register included innovest global list world sustainable corporations,2,0.0,neutral,1
The value of the multi year agreement is over EUR 2mn a year .,neutral,value multi year agreement eur mn year,1,0.0,neutral,1
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,glencore cuts budget plans divest lonmin,0,0.0,neutral,1
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,cash flow business operations totalled eur mn compared negative eur mn first half,2,-0.07222222222222222,negative,0
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,compared ftse index rose points day relative price change,2,0.3,positive,2
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",negative,moment valio worried ban continues long may become quite problem,0,-0.05,negative,0
Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive,zurich insurance considering offer uk rival rsa insurance,2,0.0,neutral,1
"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll on , roll off port of Wallhamn .",neutral,buying eukor car carriers percent stake grimaldi group sole owner swedish roll roll port wallhamn,1,0.0,neutral,1
"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,destia oy finnish infrastructure construction service company building maintaining designing traffic routes industrial traffic environments also complete living environments,1,0.1,positive,2
"ALEXANDRIA , Va. , March 28    Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset us patent trademark office announced,1,0.1,positive,2
It will also strengthen Ruukki 's offshore business .,positive,also strengthen ruukki offshore business,2,0.0,neutral,1
The handset maker did not disclose any financial details .,neutral,handset maker disclose financial details,1,0.0,neutral,1
The plant is expected to start production in the first half of 2007 .,neutral,plant expected start production first half,1,-0.005555555555555554,negative,0
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,restructuring creates efficient organization increased operational focus stable profitability leads efficient production said bo annvik head specialty stainless,2,0.2,positive,2
The electricity requirement of networks will grow with the new mobile generation .,neutral,electricity requirement networks grow new mobile generation,1,0.13636363636363635,positive,2
"Order intake , on the other hand , is expected to be stronger than in 2007 .",positive,order intake hand expected stronger,2,-0.1,negative,0
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,net profit three months march fell xac million us million xac million year earlier finnish company said,0,0.0,neutral,1
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,chs expo freight major finnish fair exhibition culture logistics company provides logistics services various events land air sea,1,0.25416666666666665,positive,2
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,changes regarding virala oy ab ownership shares tiimari taken place,1,0.0,neutral,1
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totalled eur mn eur mn representing net sales,2,0.0,neutral,1
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006 2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005 06 .",negative,finnish power supply solutions systems provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,0,0.125,positive,2
Long $GPRO for a brealout trade,positive,long gpro brealout trade,2,-0.05,negative,0
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral,terms conditions stock option scheme available group website,1,0.4,positive,2
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sales grew period xac million us million xac million,2,0.0,neutral,1
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,operating margin however slipped dragged poor performance enterprise solutions,0,-0.4,negative,0
"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long term partner in supplying Velta branded systems particularly for the commercial and industrial building sector in the UK and internationally .",neutral,trading name velta uk former uponor brand company uponor long term partner supplying velta branded systems particularly commercial industrial building sector uk internationally,1,-0.0125,negative,0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",neutral,dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,1,0.0,neutral,1
Electronic versions require 24 48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,electronic versions require hours copy customized client digital controls custom watermarks,1,0.0,neutral,1
"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",neutral,contract covers supply temporary heating equipment lkab new pellet plant kiruna northern sweden,1,0.13636363636363635,positive,2
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral,latin america currently accounts approximately sales finnish bss oss vas supplier telecoms operators tecnotree company president ceo eero mertano told bnamericas,1,-0.2,negative,0
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,operating profit eur mn eur mn,2,0.0,neutral,1
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,cash flow operations totalled eur mn compared negative eur mn second quarter,2,-0.15,negative,0
Her present position is the director of Stockmann 's international department stores .,neutral,present position director stockmann international department stores,1,0.0,neutral,1
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,juniper tumbles q warning cisco also lower jnpr csco,0,0.0,neutral,1
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industries,1,0.0,neutral,1
Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,neutral,forest certification voluntary system aimed promoting sustainable forest management commercial forests,1,0.0,neutral,1
The products have a low salt and fat content .,neutral,products low salt fat content,1,0.0,neutral,1
UPDATE 5 SABMiller rejects AB InBev's $104 bln takeover approach,positive,update sabmiller rejects ab inbevs bln takeover approach,2,0.0,neutral,1
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",neutral,poyry plccompany announcement december pm pursuant poyry plc stock option program new shares company subscribed since october stock options b,1,0.13636363636363635,positive,2
The new units should become one of the largest ones within the company .,neutral,new units become one largest ones within company,1,0.13636363636363635,positive,2
"In this case , the effect would be negative in Finland .",neutral,case effect would negative finland,1,-0.3,negative,0
Prices and delivery volumes of broadband products decreased significantly in 2005 .,neutral,prices delivery volumes broadband products decreased significantly,1,-0.012500000000000011,negative,0
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive,kndi china electriccar maker china car sales also may feed tsla momentum run lately,2,-0.3,negative,0
"According to Bosse , the present cooperation is beneficial to all parties , however .",positive,according bosse present cooperation beneficial parties however,2,0.0,neutral,1
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive,cash flow operations rose eur mn eur mn,2,0.6,positive,2
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive,fiskars brands report net sales eur mn eur mn,2,0.0,neutral,1
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,annual report contains financial statements consolidated financial statements report board directors auditor report,1,0.0,neutral,1
Cargotec will also move Hallberg Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,cargotec also move hallberg ivarsson service installation business roof service center kalmar macgregor solutions gothenburg,1,-0.1,negative,0
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,company board directors would propose dividend eur per share,1,0.0,neutral,1
"On the other hand , Finnish sawmills ' production has decreased even more .",neutral,hand finnish sawmills production decreased even,1,-0.4,negative,0
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive,new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operations,2,0.13636363636363635,positive,2
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,tesco leads leap ftse marks spencer drops,2,0.0,neutral,1
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,neutral,rising costs forced packaging producer huhtamaki axe jobs hampshire manufacturing plant,1,-0.30000000000000004,negative,0
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,company designs manufactures markets advanced composite products industrial applications consumer goods cross country alpine nordic walking poles floorball sticks antenna radomes,1,0.2,positive,2
Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral,unilever turun sinappi made sweden holds market,1,0.0,neutral,1
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,thus group balance sheet eur goodwill company added,1,0.0,neutral,1
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",neutral,vanhanen said strike would extremely damaging participants reporters begin arrive finland one day eu summit russian president vladimir putin lahti kilometers miles north helsinki,1,-0.0625,negative,0
Border Guard Service has banned the mooring of the company car shipping ferry on its test travel at the railroad car terminal of the Russian port as the border checkpoint is not yet ready .,negative,border guard service banned mooring company car shipping ferry test travel railroad car terminal russian port border checkpoint yet ready,0,0.1,positive,2
Financing of the project will come mainly from China .,neutral,financing project come mainly china,1,0.16666666666666666,positive,2
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,purchase operations part yit strategy expand offering building system services geographically,2,0.0,neutral,1
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,finnish government announced wednesday sold percent stake chemicals fertilizer group kemira oyj xac million us million sending company share price percent,2,0.0,neutral,1
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,fair value company investment properties went eur bn end september eur bn year earlier,0,0.35,positive,2
UPM Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,positive,upm kymmene generated seventeen consecutive quarters positive cash flow operations,2,0.22727272727272727,positive,2
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",neutral,konecranes oyj kcrv fh fell percent euros biggest fall since june,1,0.0,neutral,1
"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,capman said deal effect cash flow totals eur transaction would affect financial results executed fair value,1,0.35,positive,2
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral,vianor sells tires cars trucks well range car parts provides maintenance services,1,0.0,neutral,1
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",neutral,patrick jeambar also continue responsible innovation health safety environment hsea functions ahlstrom corporation,1,0.2,positive,2
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,founded strand associates provides civil environmental transportation electrical mechanical engineering services employees offices wisconsin alabama illinois indiana kentucky ohio,1,0.0,neutral,1
Royal Mail share price rallies amid positive broker comments,positive,royal mail share price rallies amid positive broker comments,2,0.22727272727272727,positive,2
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs,2,0.39999999999999997,positive,2
"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .",neutral,purposes possible acquisition pkc would establish subsidiary poland,1,0.0,neutral,1
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive,main business area glass machinery group glaston technologies global market leader glass processing machines,2,0.08333333333333333,positive,2
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,operating profit fell eur mn eur mn second quarter,0,0.0,neutral,1
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year earlier figure of 245.92 million liters .",positive,lithuanian beer makers sold million liters beer rise per cent year earlier figure million liters,2,0.0,neutral,1
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,negotiations carried constructive manner parties tried find solution situation,2,0.0,neutral,1
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,result company currently anticipates net sales increase operating result positive,2,0.07575757575757576,positive,2
The company confirmed its estimate for lower revenue for the whole 2009 than the year ago EUR93 .9 m as given in the interim report on 5 August 2009 .,negative,company confirmed estimate lower revenue whole year ago eur given interim report august,0,0.30000000000000004,positive,2
The company 's model is based on developer contracting construction projects and customer focused project management .,neutral,company model based developer contracting construction projects customer focused project management,1,0.0,neutral,1
The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,negative,seawind en route finnish port turku stockholm got stuck ice already around pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short thursday,0,0.0,neutral,1
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,neutral,operating loss amounted eur mn compared profit eur mn second quarter,1,0.0,neutral,1
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",neutral,finnish scanfil systems supplier contract manufacturer communications sector electronics industry reports net sales eur mn first quarter per cent smaller corresponding period,1,0.08333333333333333,positive,2
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,sale result capital loss eurm solidium obtained tikkurila shares march,0,0.0,neutral,1
"Price talk is in the mid market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",neutral,price talk mid market swaps plus bps area leads barclays bnpp ubs cba,1,0.0,neutral,1
"Speaking to just drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in   namely , Finland , Estonia , Latvia and Lithuania . ''",positive,speaking drinks today spokesperson olvi said performed well four countries operate namely finland estonia latvia lithuania,2,0.0,neutral,1
It is planned to set up the A class business center in the two top storeys of the complex .,neutral,planned set class business center two top storeys complex,1,0.03333333333333335,positive,2
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,cnp sell short position cnpclosed profit,2,0.0,neutral,1
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,commented time embrace dividend growth abbv csco wyn,2,0.0,neutral,1
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",positive,caixabank dos santos agree plan bpi angola exposure,2,0.0,neutral,1
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",neutral,affecto provide new efi data warehouse reporting solution behavioural scoring system supporting operational decision processes data migration old legacy systems new efi system,1,0.15568181818181817,positive,2
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral,need malware removal tools type url vendor choice directly browser bar use links website wrote trend micro rik ferguson monday,1,0.1,positive,2
"However , the growth margin slowed down due to the financial crisis .",negative,however growth margin slowed due financial crisis,0,-0.0625,negative,0
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,increase number shares based option rights granted management company stock option plan,1,0.0,neutral,1
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral,share subscription period c options commence september expire march,1,0.0,neutral,1
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,device also used theft protection positioning vehicles boats assets,1,0.0,neutral,1
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steers inc shares representing share capital voting rights,1,0.0,neutral,1
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",negative,fastjet slams easyjet founder stelios going public taking legal advice letter contractual,0,0.1,positive,2
Total operating revenue grew by 27.6 % year on year to EUR61m .,positive,total operating revenue grew year year eurm,2,0.0,neutral,1
CompaniesActelion shares hit record on Shire takeover talk,positive,companiesactelion shares hit record shire takeover talk,2,0.0,neutral,1
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive,due rapid expansion market share tallink terms passenger carriage tallinna sadam port tallinn totaled percent november percent november,2,-0.125,negative,0
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user experience and cost efficiency '' , Tulonen continues .",positive,based strong customer interest feedback using rpm mobile phone manufacturers operators enterprises developer forums significantly increase product service quality user experience cost efficiency tulonen continues,2,0.4041666666666667,positive,2
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental related services , as well as rental and sale of modular space .",neutral,cramo plc service company specialising construction machinery equipment rental rental related services well rental sale modular space,1,0.0,neutral,1
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,finnish electronics contract manufacturer scanfil reports net sales eur mn second quarter eur mn year earlier,0,0.0,neutral,1
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral,thus group balance sheet eur goodwill company added,1,0.0,neutral,1
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",negative,total mn passenger ship journeys took place northern baltic sea slightly mn,0,-0.08333333333333333,negative,0
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",neutral,among scandinavian companies present st petersburg also named swedish concern ncc implements projects field asphalt production road housing construction project swedish krona,1,0.0,neutral,1
$AMZN long into earnings. looks good over 600,positive,amzn long earnings looks good,2,0.32499999999999996,positive,2
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative,operating loss totalled eur mn profit eur mn,0,0.0,neutral,1
UPDATE 2 Pricey beers lift SABMiller's quarterly underlying sales,positive,update pricey beers lift sabmillers quarterly underlying sales,2,0.0,neutral,1
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007   August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",neutral,operating loss pulp paper machinery unit eur mn september august compared profit eur mn year earlier,1,0.0,neutral,1
Ruling sets lower limit on potential fine for BP,negative,ruling sets lower limit potential fine bp,0,0.20833333333333334,positive,2
Major Order in India Comptel Corporation has received a significant long term order for mediation and provisioning solutions being used by a leading operator in India .,positive,major order india comptel corporation received significant long term order mediation provisioning solutions used leading operator india,2,0.12916666666666668,positive,2
Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews,positive,citrix systems inc ctxs position increased mizuho sharestocknews,2,0.0,neutral,1
"Finnair 's Tallinn based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",negative,finnair tallinn based subsidiary aero carried passengers decline routes helsinki baltic capitals within southern finland,0,0.0,neutral,1
Also construction expenses have gone up in Russia .,negative,also construction expenses gone russia,0,0.0,neutral,1
30 November 2009   Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,negative,november finnish office furniture maker martela oyj hel maras said today make redundant three people nine laid permanently company office staff factory workers,0,-0.2,negative,0
"Local government commissioner of +àm+Ñl , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +àm+Ñl .",neutral,local government commissioner ml kurt svensson says contact management finnish company componenta find alternatives company decision close plant ml,1,0.0,neutral,1
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",neutral,result share issue number company shares increases shares share capital total eur,1,0.0,neutral,1
